Sample	GIL01	GIL01_unaligned	GIL16	GIL16_unaligned	Unaligned	chromosome	chromosome_unaligned	pBtic235	pBtic235_unaligned
GBJ002_t60-mock_I_unpaired_R2	0.0	0.0	0.0	0.0	32406.0	381789.0	0.0	18049.0	0.0
GBJ002_t60_III_paired	0.0	0.0	0.0	0.0	113546.0	29056453.0	40603.0	2550437.0	4227.0
GBJ002_t60_III_unpaired_R1	0.0	0.0	0.0	0.0	5700.0	270185.0	0.0	22990.0	0.0
GBJ002_t60_III_unpaired_R2	0.0	0.0	0.0	0.0	5575.0	462940.0	0.0	35703.0	0.0
GBJ002_t60_II_paired	0.0	0.0	0.0	0.0	311364.0	24835203.0	36069.0	985618.0	1414.0
GBJ002_t60_II_unpaired_R1	0.0	0.0	0.0	0.0	6922.0	150657.0	0.0	6252.0	0.0
GBJ002_t60_II_unpaired_R2	0.0	0.0	0.0	0.0	7912.0	268105.0	0.0	10163.0	0.0
GBJ002_t60_I_paired	0.0	0.0	0.0	0.0	519226.0	39560966.0	51145.0	4067963.0	6164.0
GBJ002_t60_I_unpaired_R1	0.0	0.0	0.0	0.0	12492.0	228944.0	0.0	24187.0	0.0
GBJ002_t60_I_unpaired_R2	0.0	0.0	0.0	0.0	20080.0	653261.0	0.0	55190.0	0.0
GIL01_III_paired	149084.0	34.0	0.0	0.0	19208.0	15410312.0	2280.0	319887.0	87.0
GIL01_III_unpaired_R1	3539.0	0.0	0.0	0.0	4625.0	462456.0	0.0	6330.0	0.0
GIL01_III_unpaired_R2	818.0	0.0	0.0	0.0	1305.0	83562.0	0.0	1342.0	0.0
GIL01_II_paired	121900.0	32.0	0.0	0.0	17824.0	12218771.0	2233.0	236266.0	76.0
GIL01_II_unpaired_R1	3084.0	0.0	0.0	0.0	4586.0	388513.0	0.0	4791.0	0.0
GIL01_II_unpaired_R2	622.0	0.0	0.0	0.0	1375.0	60173.0	0.0	894.0	0.0
GIL01_I_paired	249867.0	51.0	0.0	0.0	32874.0	20692118.0	3065.0	379896.0	79.0
GIL01_I_unpaired_R1	7532.0	0.0	0.0	0.0	7245.0	782554.0	0.0	9633.0	0.0
GIL01_I_unpaired_R2	1682.0	0.0	0.0	0.0	2221.0	139863.0	0.0	1805.0	0.0
